supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
,ADQ-CA-5549A6A8,,,,,,,,https://casathai.es/5876-home_default/mesa-nina-de-centro-nogal-70-cm.jpg,,,scraper
,ADQ-CA-20E40C23,,,,,,,,https://casathai.es/5870-home_default/mesa-nina-de-centro-negra-70-cm.jpg,,,scraper
,ADQ-CA-5F83B44E,,,,,,,,https://casathai.es/5864-home_default/mesa-nina-blanca-70-cm.jpg,,,scraper
,ADQ-CA-5B666765,,,,,,,,https://casathai.es/5858-home_default/mesa-nina-natural-70-cm.jpg,,,scraper
,ADQ-CA-8984AB14,,,,,,,,https://casathai.es/5635-home_default/mesa-elevable-greta.jpg,,,scraper
,ADQ-CA-36CA40DB,,,,,,,,https://casathai.es/5601-home_default/mesa-centro-gina-negra.jpg,,,scraper
,ADQ-CA-E88083A2,,,,,,,,https://casathai.es/5595-home_default/mesa-centro-gina-blanca.jpg,,,scraper
,ADQ-CA-365516A6,,,,,,,,https://casathai.es/5591-home_default/mesa-centro-gina-natural.jpg,,,scraper
,ADQ-CA-A465C54F,,,,,,,,https://casathai.es/5677-home_default/mesa-de-centro-inca-natural-negro.jpg,,,scraper
,ADQ-CA-8DEFC321,,,,,,,,https://casathai.es/5683-home_default/mesa-de-centro-inca-blanca.jpg,,,scraper
,ADQ-CA-CA513149,,,,,,,,https://casathai.es/1855-home_default/mesa-dali-nino-blanca.jpg,,,scraper
,ADQ-CA-2F4A79A8,,,,,,,,https://casathai.es/2390-home_default/mesa-volt-bar-blanco-envejecido.jpg,,,scraper
,ADQ-CA-C5F6C8EB,,,,,,,,https://casathai.es/2501-home_default/mesa-volt-bar-blanca.jpg,,,scraper
,ADQ-CA-38CD9C28,,,,,,,,https://casathai.es/2271-home_default/mesa-volt-bar-negra.jpg,,,scraper
,ADQ-CA-E8731321,,,,,,,,https://casathai.es/4929-home_default/mesa-gina-bar-blanca.jpg,,,scraper
,ADQ-CA-2B39A401,,,,,,,,https://casathai.es/4932-home_default/mesa-gina-bar-negra.jpg,,,scraper
,ADQ-CA-869DAB05,,,,,,,,https://casathai.es/4935-home_default/mesa-gina-bar-blanca-natural.jpg,,,scraper
,ADQ-CA-81B279E8,,,,,,,,https://casathai.es/5893-home_default/mesa-mika-alta-blanca-madera.jpg,,,scraper
,ADQ-CA-D298EF3A,,,,,,,,https://casathai.es/5032-home_default/mesa-gina-negra-blanca-90x90.jpg,,,scraper
,ADQ-CA-FEB1027A,,,,,,,,https://casathai.es/3944-home_default/mesa-gina-blanca-90x90.jpg,,,scraper
,ADQ-CA-E7364112,,,,,,,,https://casathai.es/5578-home_default/mesa-gina-negra-90x90.jpg,,,scraper
,ADQ-CA-2BF44FC8,,,,,,,,https://casathai.es/3948-home_default/mesa-gina-blanca-natural-90x90.jpg,,,scraper
,ADQ-CA-3A1242FA,,,,,,,,https://casathai.es/5035-home_default/mesa-gina-negra-natural-90x90.jpg,,,scraper
,ADQ-CA-664FC4EC,,,,,,,,https://casathai.es/3962-home_default/mesa-gina-blanca-negra-90x90.jpg,,,scraper
,ADQ-CA-FA94526E,,,,,,,,https://casathai.es/4449-home_default/mesa-gina.jpg,,,scraper
,ADQ-CA-B03D0139,,,,,,,,https://casathai.es/4838-home_default/mesa-gina-blanca-negra.jpg,,,scraper
,ADQ-CA-A5D4F259,,,,,,,,https://casathai.es/4448-home_default/mesa-gina.jpg,,,scraper
,ADQ-CA-4FD4CDD5,,,,,,,,https://casathai.es/4446-home_default/mesa-gina.jpg,,,scraper
,ADQ-CA-ECCD0A45,,,,,,,,https://casathai.es/2332-home_default/mesa-volt-madera-120x80.jpg,,,scraper
,ADQ-CA-733A90C2,,,,,,,,https://casathai.es/5992-home_default/mesa-volt-120-blanca-madera-pata-blanca.jpg,,,scraper
,ADQ-CA-69C87FA7,,,,,,,,https://casathai.es/5995-home_default/mesa-volt-120-blanca-madera-oscura-pata-blanca.jpg,,,scraper
,ADQ-CA-2D913FA0,,,,,,,,https://casathai.es/2335-home_default/mesa-volt-madera-80x80.jpg,,,scraper
,ADQ-CA-871FABDF,,,,,,,,https://casathai.es/2784-home_default/mesa-volt-80-blanca-madera-pata-blanca.jpg,,,scraper
,ADQ-CA-DE1F427B,,,,,,,,https://casathai.es/5704-home_default/mesa-volt-80-blanca-madera-oscura-pata-blanca.jpg,,,scraper
,ADQ-CA-BCF9F0D4,,,,,,,,https://casathai.es/2269-home_default/mesa-volt-metal-negra.jpg,,,scraper
,ADQ-CA-796E3643,,,,,,,,https://casathai.es/2267-home_default/mesa-volt-metal-blanca.jpg,,,scraper
,ADQ-CA-6ADC8B12,,,,,,,,https://casathai.es/1889-home_default/mesa-skorpio-blanca.jpg,,,scraper
,ADQ-CA-36ACD3F7,,,,,,,,https://casathai.es/1884-home_default/mesa-skorpio-gris.jpg,,,scraper
,ADQ-CA-4BED4018,,,,,,,,https://casathai.es/5901-home_default/mesa-extensible-mika-blancanatural.jpg,,,scraper
,ADQ-CA-C9A4E357,,,,,,,,https://casathai.es/5897-home_default/mesa-extensible-mika-naturalblanco.jpg,,,scraper
,ADQ-CA-ED3DB693,,,,,,,,https://casathai.es/5131-home_default/mesa-basic-cristal-transparente-pata-negra.jpg,,,scraper
,ADQ-CA-A71FF5BD,,,,,,,,https://casathai.es/3744-home_default/mesa-extensible-adana-natural.jpg,,,scraper
,ADQ-CA-CDE8E330,,,,,,,,https://casathai.es/2738-home_default/mesa-extensible-adana-blancanatural.jpg,,,scraper
,ADQ-CA-E4454CEC,,,,,,,,https://casathai.es/3743-home_default/mesa-mika-madera-natural.jpg,,,scraper
,ADQ-CA-B6A613C7,,,,,,,,https://casathai.es/2714-home_default/mesa-mika-blancapt-natural.jpg,,,scraper
,ADQ-CA-10191C75,,,,,,,,https://casathai.es/2648-home_default/mesa-mika-blanca.jpg,,,scraper
,ADQ-CA-6CD3D915,,,,,,,,https://casathai.es/1051-home_default/mesa-basic-blanca.jpg,,,scraper
,ADQ-CA-19756FFD,,,,,,,,https://casathai.es/3232-home_default/mesa-basic-gris.jpg,,,scraper
